"","X12_0h","X12_14w","X12_2w","X13_0h","X13_14w","X13_2w","X14_0h","X14_14w","X14_2w","X15_0h","X15_14w","X23_0h","X23_14w","X23_2w","X24_0h","X24_14w","X24_2w","X28_0h","X28_14w","X28_2w","X29_0h","X29_14w","X29_2w","X38_0h","X38_2w","X39_0h","X39_2w","X40_0h","X40_2w","X42_0h","X42_2w"
"Patient.Time","12_0h","12_14w","12_2w","13_0h","13_14w","13_2w","14_0h","14_14w","14_2w","15_0h","15_14w","23_0h","23_14w","23_2w","24_0h","24_14w","24_2w","28_0h","28_14w","28_2w","29_0h","29_14w","29_2w","38_0h","38_2w","39_0h","39_2w","40_0h","40_2w","42_0h","42_2w"
"Patient","12","12","12","13","13","13","14","14","14","15","15","23","23","23","24","24","24","28","28","28","29","29","29","38","38","39","39","40","40","42","42"
"Time","0h","14w","2w","0h","14w","2w","0h","14w","2w","0h","14w","0h","14w","2w","0h","14w","2w","0h","14w","2w","0h","14w","2w","0h","2w","0h","2w","0h","2w","0h","2w"
"Remission","R","R","R","R","R","R","R","R","R","R","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","R","R","R"
"Remission2","before","R","R","before","R","R","before","R","R","before","R","before","NR","NR","before","NR","NR","before","NR","NR","before","NR","NR","before","NR","before","NR","before","R","before","R"
"Disease","UC","UC","UC","CD","CD","CD","CD","CD","CD","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","CD","CD","UC","UC","CD","CD","UC","UC"
